source_url,source_product,destination_url,destination_page,anchor_text,section_heading,link_shape,status
https://theburgersleeves.com/product/black-burger-sleeves/,Black Burger Sleeves,https://theburgersleeves.com/product/matte-finish-burger-sleeves/,Matte Finish Burger Sleeves,low-sheen surface that plays down handling marks,"Scuffing, Fingerprints And What Black Shows",product+product+product,200
https://theburgersleeves.com/product/black-burger-sleeves/,Black Burger Sleeves,https://theburgersleeves.com/product/black-printed-burger-sleeves/,Black Printed Burger Sleeves,heavy black ink coverage laid onto light paperboard,Preparing Artwork For A Black Sleeve,product+product+product,200
https://theburgersleeves.com/product/black-burger-sleeves/,Black Burger Sleeves,https://theburgersleeves.com/product/white-burger-sleeves/,White Burger Sleeves,a bright board that carries small text cleanly,Where Black Sleeves Fit A Menu,product+product+product,200
https://theburgersleeves.com/product/cafe-burger-sleeves/,Cafe Burger Sleeves,https://theburgersleeves.com/product-category/special-sleeves-uses/,Special Sleeves Uses,use based burger sleeve options,Cafe Burger Sleeves Built For Counter Rhythm,category+product+product+product,200
https://theburgersleeves.com/product/cafe-burger-sleeves/,Cafe Burger Sleeves,https://theburgersleeves.com/product/restaurant-burger-sleeves/,Restaurant Burger Sleeves,front counter service use,Cafe Burger Sleeves Built For Counter Rhythm,category+product+product+product,200
https://theburgersleeves.com/product/cafe-burger-sleeves/,Cafe Burger Sleeves,https://theburgersleeves.com/product/food-truck-burger-sleeves/,Food Truck Burger Sleeves,mobile service sleeves,Cafe Sleeves That Keep Mixed Orders Organized,category+product+product+product,200
https://theburgersleeves.com/product/cafe-burger-sleeves/,Cafe Burger Sleeves,https://theburgersleeves.com/product/event-burger-sleeves/,Event Burger Sleeves,high volume service handling,Cafe Sleeves That Keep Mixed Orders Organized,category+product+product+product,200
https://theburgersleeves.com/product/cardboard-burger-sleeves/,Cardboard Burger Sleeves,https://theburgersleeves.com/product-category/burger-sleeves-materials/,Burger Sleeves Materials,paperboard sleeve strength options,Cardboard Burger Sleeves For Strong Daily Protection,category+product+product+product,200
https://theburgersleeves.com/product/cardboard-burger-sleeves/,Cardboard Burger Sleeves,https://theburgersleeves.com/product/corrugated-burger-sleeves/,Corrugated Burger Sleeves,reinforced layer structure,Cardboard Burger Sleeves For Strong Daily Protection,category+product+product+product,200
https://theburgersleeves.com/product/cardboard-burger-sleeves/,Cardboard Burger Sleeves,https://theburgersleeves.com/product/kraft-burger-sleeves/,Kraft Burger Sleeves,kraft paper finish,Cardboard Sleeves That Keep Stations Consistent,category+product+product+product,200
https://theburgersleeves.com/product/cardboard-burger-sleeves/,Cardboard Burger Sleeves,https://theburgersleeves.com/product/paper-burger-sleeves/,Paper Burger Sleeves,paper based sleeve stock,Cardboard Sleeves That Keep Stations Consistent,category+product+product+product,200
https://theburgersleeves.com/product/corrugated-burger-sleeves/,Corrugated Burger Sleeves,https://theburgersleeves.com/product-category/burger-sleeves-materials/,Burger Sleeves Materials,structured sleeve material builds,Corrugated Burger Sleeves For Stronger Shape Hold,category+product+product+product,200
https://theburgersleeves.com/product/corrugated-burger-sleeves/,Corrugated Burger Sleeves,https://theburgersleeves.com/product/cardboard-burger-sleeves/,Cardboard Burger Sleeves,rigid sleeve support,Corrugated Burger Sleeves For Stronger Shape Hold,category+product+product+product,200
https://theburgersleeves.com/product/corrugated-burger-sleeves/,Corrugated Burger Sleeves,https://theburgersleeves.com/product/kraft-burger-sleeves/,Kraft Burger Sleeves,kraft outer surface,Corrugated Sleeves That Keep Orders Stable In Bags,category+product+product+product,200
