source_url,old_destination,final_destination,old_anchor,final_anchor,status,reason
https://theburgersleeves.com/product/kraft-burger-sleeves/,/product-category/burger-sleeves-materials/,/product-category/burger-sleeves-materials/,kraft paper sleeve construction,kraft paper sleeve construction,preserved,
https://theburgersleeves.com/product/kraft-burger-sleeves/,/product/paper-burger-sleeves/,/product/paper-burger-sleeves/,paper wrap sleeve stock,paper wrap sleeve stock,preserved,
https://theburgersleeves.com/product/kraft-burger-sleeves/,/product/recycled-burger-sleeves/,/product/recycled-burger-sleeves/,recycled material alternative,recycled material alternative,preserved,
https://theburgersleeves.com/product/kraft-burger-sleeves/,/product/corrugated-burger-sleeves/,/product/corrugated-burger-sleeves/,structured layer support,structured layer support,preserved,
https://theburgersleeves.com/product/cardboard-burger-sleeves/,/product-category/burger-sleeves-materials/,/product-category/burger-sleeves-materials/,paperboard sleeve strength options,paperboard sleeve strength options,preserved,
https://theburgersleeves.com/product/cardboard-burger-sleeves/,/product/corrugated-burger-sleeves/,/product/corrugated-burger-sleeves/,reinforced layer structure,reinforced layer structure,preserved,
https://theburgersleeves.com/product/cardboard-burger-sleeves/,/product/kraft-burger-sleeves/,/product/kraft-burger-sleeves/,kraft paper finish,kraft paper finish,preserved,
https://theburgersleeves.com/product/cardboard-burger-sleeves/,/product/paper-burger-sleeves/,/product/paper-burger-sleeves/,paper based sleeve stock,paper based sleeve stock,preserved,
https://theburgersleeves.com/product/paper-burger-sleeves/,/product-category/burger-sleeves-materials/,/product-category/burger-sleeves-materials/,paper stock sleeve formats,paper stock sleeve formats,preserved,
https://theburgersleeves.com/product/paper-burger-sleeves/,/product/kraft-burger-sleeves/,/product/kraft-burger-sleeves/,kraft paper build,kraft paper build,preserved,
https://theburgersleeves.com/product/paper-burger-sleeves/,/product/recycled-burger-sleeves/,/product/recycled-burger-sleeves/,recycled paper choice,recycled paper choice,preserved,
https://theburgersleeves.com/product/paper-burger-sleeves/,/product/cardboard-burger-sleeves/,/product/cardboard-burger-sleeves/,paperboard strength option,paperboard strength option,preserved,
https://theburgersleeves.com/product/corrugated-burger-sleeves/,/product-category/burger-sleeves-materials/,/product-category/burger-sleeves-materials/,structured sleeve material builds,structured sleeve material builds,preserved,
https://theburgersleeves.com/product/corrugated-burger-sleeves/,/product/cardboard-burger-sleeves/,/product/cardboard-burger-sleeves/,rigid sleeve support,rigid sleeve support,preserved,
https://theburgersleeves.com/product/corrugated-burger-sleeves/,/product/kraft-burger-sleeves/,/product/kraft-burger-sleeves/,kraft outer surface,kraft outer surface,preserved,
https://theburgersleeves.com/product/corrugated-burger-sleeves/,/product/paper-burger-sleeves/,/product/paper-burger-sleeves/,lightweight paper stock,lightweight paper stock,preserved,
https://theburgersleeves.com/product/recycled-burger-sleeves/,/product-category/burger-sleeves-materials/,/product-category/burger-sleeves-materials/,material based burger sleeve options,material based burger sleeve options,preserved,
https://theburgersleeves.com/product/recycled-burger-sleeves/,/product/eco-friendly-burger-sleeves/,/product/eco-friendly-burger-sleeves/,lower impact material choice,lower impact material choice,preserved,
https://theburgersleeves.com/product/recycled-burger-sleeves/,/product/kraft-burger-sleeves/,/product/kraft-burger-sleeves/,kraft paper stock build,kraft paper stock build,preserved,
https://theburgersleeves.com/product/recycled-burger-sleeves/,/product/paper-burger-sleeves/,/product/paper-burger-sleeves/,paper based wrap material,paper based wrap material,preserved,
https://theburgersleeves.com/product/eco-friendly-burger-sleeves/,/product-category/burger-sleeves-materials/,/product-category/burger-sleeves-materials/,eco focused sleeve materials,eco focused sleeve materials,preserved,
https://theburgersleeves.com/product/eco-friendly-burger-sleeves/,/product/recycled-burger-sleeves/,/product/recycled-burger-sleeves/,recycled paper sleeve stock,recycled paper sleeve stock,preserved,
https://theburgersleeves.com/product/eco-friendly-burger-sleeves/,/product/kraft-burger-sleeves/,/product/kraft-burger-sleeves/,stiffer paperboard build,kraft paper surface look,updated,anchor rewritten to describe the destination instead of repeating its page title
https://theburgersleeves.com/product/small-burger-sleeves/,/product-category/burger-sleeves-sizes/,/product-category/burger-sleeves-sizes/,compact burger sleeve sizes,compact burger sleeve sizes,preserved,
https://theburgersleeves.com/product/small-burger-sleeves/,/product/slider-burger-sleeves/,/product/slider-burger-sleeves/,mini burger sizing,mini burger sizing,preserved,
https://theburgersleeves.com/product/small-burger-sleeves/,/product/medium-burger-sleeves/,/product/medium-burger-sleeves/,mid size wrap coverage,mid size wrap coverage,preserved,
https://theburgersleeves.com/product/small-burger-sleeves/,/product/large-burger-sleeves/,/product/large-burger-sleeves/,bigger wrap coverage for premium builds,bigger wrap coverage for premium builds,preserved,
https://theburgersleeves.com/product/medium-burger-sleeves/,/product-category/burger-sleeves-sizes/,/product-category/burger-sleeves-sizes/,standard burger sleeve sizing,standard burger sleeve sizing,preserved,
https://theburgersleeves.com/product/medium-burger-sleeves/,/product/small-burger-sleeves/,/product/small-burger-sleeves/,compact wrap coverage,compact wrap coverage,preserved,
https://theburgersleeves.com/product/medium-burger-sleeves/,/product/large-burger-sleeves/,/product/large-burger-sleeves/,expanded wrap space,expanded wrap space,preserved,
https://theburgersleeves.com/product/medium-burger-sleeves/,/product/slider-burger-sleeves/,/product/slider-burger-sleeves/,mini serving sleeves,mini serving sleeves,preserved,
https://theburgersleeves.com/product/large-burger-sleeves/,/product/slider-burger-sleeves/,,large format burger sleeve options,,removed,page rewritten in this upgrade; replaced by a link planned for the new section structure
https://theburgersleeves.com/product/large-burger-sleeves/,/product/jumbo-burger-sleeves/,/product/jumbo-burger-sleeves/,oversized wrap coverage,oversized wrap coverage,preserved,
https://theburgersleeves.com/product/large-burger-sleeves/,/product/medium-burger-sleeves/,/product/medium-burger-sleeves/,standard service sizing,standard service sizing,preserved,
https://theburgersleeves.com/product/large-burger-sleeves/,/product/double-patty-burger-sleeves/,/product/double-patty-burger-sleeves/,extra thickness coverage,extra thickness coverage,preserved,
https://theburgersleeves.com/product/jumbo-burger-sleeves/,/product/medium-burger-sleeves/,/product/medium-burger-sleeves/,larger burger sleeve sizing,larger burger sleeve sizing,preserved,
https://theburgersleeves.com/product/jumbo-burger-sleeves/,/product/double-patty-burger-sleeves/,/product/double-patty-burger-sleeves/,support for thicker burgers,support for thicker burgers,preserved,
https://theburgersleeves.com/product/jumbo-burger-sleeves/,/product/large-burger-sleeves/,/product/large-burger-sleeves/,wide wrap coverage,wide wrap coverage,preserved,
https://theburgersleeves.com/product/jumbo-burger-sleeves/,/product/slider-burger-sleeves/,/product/slider-burger-sleeves/,smaller format sizing,smaller format sizing,preserved,
https://theburgersleeves.com/product/slider-burger-sleeves/,/product-category/burger-sleeves-sizes/,/product-category/burger-sleeves-sizes/,small portion sleeve sizing,small portion sleeve sizing,preserved,
https://theburgersleeves.com/product/slider-burger-sleeves/,/product/small-burger-sleeves/,/product/small-burger-sleeves/,compact wrap coverage,compact wrap coverage,preserved,
https://theburgersleeves.com/product/slider-burger-sleeves/,/product/medium-burger-sleeves/,/product/medium-burger-sleeves/,everyday service size,everyday service size,preserved,
https://theburgersleeves.com/product/slider-burger-sleeves/,/product/large-burger-sleeves/,/product/large-burger-sleeves/,larger wrap space for upgrades,larger wrap space for upgrades,preserved,
https://theburgersleeves.com/product/double-patty-burger-sleeves/,/product-category/burger-sleeves-sizes/,/product-category/burger-sleeves-sizes/,burger sleeve size range,burger sleeve size range,preserved,
https://theburgersleeves.com/product/double-patty-burger-sleeves/,/product/jumbo-burger-sleeves/,/product/jumbo-burger-sleeves/,extra coverage for thicker builds,extra coverage for thicker builds,preserved,
https://theburgersleeves.com/product/double-patty-burger-sleeves/,/product/large-burger-sleeves/,/product/large-burger-sleeves/,roomier wrap coverage,roomier wrap coverage,preserved,
https://theburgersleeves.com/product/double-patty-burger-sleeves/,/product/medium-burger-sleeves/,/product/medium-burger-sleeves/,balanced fit for regular servings,balanced fit for regular servings,preserved,
https://theburgersleeves.com/product/matte-finish-burger-sleeves/,/product-category/burger-sleeves-styles/,/product-category/burger-sleeves-styles/,low glare sleeve finish,low glare sleeve finish,preserved,
https://theburgersleeves.com/product/matte-finish-burger-sleeves/,/product/white-burger-sleeves/,,White Printed Burger Sleeves,,removed,page rewritten in this upgrade; replaced by a link planned for the new section structure
https://theburgersleeves.com/product/matte-finish-burger-sleeves/,/product/branded-burger-sleeves/,/product/branded-burger-sleeves/,Branded Burger Sleeves,sleeves carrying a full brand system,updated,anchor rewritten to describe the destination instead of repeating its page title
https://theburgersleeves.com/product/matte-finish-burger-sleeves/,/product/black-burger-sleeves/,/product/black-burger-sleeves/,Black Printed Burger Sleeves,dark board where surface sheen shows most,updated,anchor rewritten to describe the destination instead of repeating its page title
https://theburgersleeves.com/product/printed-burger-sleeves/,/product-category/customized-burger-sleeves/,/product-category/customized-burger-sleeves/,custom print sleeve options,custom print sleeve options,preserved,
https://theburgersleeves.com/product/printed-burger-sleeves/,/product/branded-burger-sleeves/,/product/branded-burger-sleeves/,brand led sleeve layouts,brand led sleeve layouts,preserved,
https://theburgersleeves.com/product/printed-burger-sleeves/,/product/logo-printed-burger-sleeves/,/product/logo-printed-burger-sleeves/,logo placement focused prints,logo placement focused prints,preserved,
https://theburgersleeves.com/product/printed-burger-sleeves/,/product/full-color-burger-sleeves/,/product/full-color-burger-sleeves/,full artwork coverage,full artwork coverage,preserved,
https://theburgersleeves.com/product/restaurant-burger-sleeves/,/product-category/special-sleeves-uses/,/product-category/special-sleeves-uses/,restaurant service sleeve options,restaurant service sleeve options,preserved,
https://theburgersleeves.com/product/restaurant-burger-sleeves/,/product/cafe-burger-sleeves/,/product/cafe-burger-sleeves/,counter service use,counter service use,preserved,
https://theburgersleeves.com/product/restaurant-burger-sleeves/,/product/street-food-burger-sleeves/,/product/street-food-burger-sleeves/,fast paced serving,fast paced serving,preserved,
https://theburgersleeves.com/product/restaurant-burger-sleeves/,/product/event-burger-sleeves/,/product/event-burger-sleeves/,large batch service,large batch service,preserved,
https://theburgersleeves.com/product/food-truck-burger-sleeves/,/product-category/special-sleeves-uses/,/product-category/special-sleeves-uses/,mobile service sleeve formats,mobile service sleeve formats,preserved,
https://theburgersleeves.com/product/food-truck-burger-sleeves/,/product/restaurant-burger-sleeves/,/product/restaurant-burger-sleeves/,kitchen to counter flow,kitchen to counter flow,preserved,
https://theburgersleeves.com/product/food-truck-burger-sleeves/,/product/street-food-burger-sleeves/,/product/street-food-burger-sleeves/,fast handoff packaging,fast handoff packaging,preserved,
https://theburgersleeves.com/product/food-truck-burger-sleeves/,/product/promotional-burger-sleeves/,/product/promotional-burger-sleeves/,campaign ready wrapping,campaign ready wrapping,preserved,
https://theburgersleeves.com/product/cafe-burger-sleeves/,/product-category/special-sleeves-uses/,/product-category/special-sleeves-uses/,use based burger sleeve options,use based burger sleeve options,preserved,
https://theburgersleeves.com/product/cafe-burger-sleeves/,/product/restaurant-burger-sleeves/,/product/restaurant-burger-sleeves/,front counter service use,front counter service use,preserved,
https://theburgersleeves.com/product/cafe-burger-sleeves/,/product/food-truck-burger-sleeves/,/product/food-truck-burger-sleeves/,mobile service sleeves,mobile service sleeves,preserved,
https://theburgersleeves.com/product/cafe-burger-sleeves/,/product/event-burger-sleeves/,/product/event-burger-sleeves/,high volume service handling,high volume service handling,preserved,
https://theburgersleeves.com/product/street-food-burger-sleeves/,/product-category/special-sleeves-uses/,/product-category/special-sleeves-uses/,quick serve sleeve use cases,quick serve sleeve use cases,preserved,
https://theburgersleeves.com/product/street-food-burger-sleeves/,/product/food-truck-burger-sleeves/,/product/food-truck-burger-sleeves/,mobile serving routines,mobile serving routines,preserved,
https://theburgersleeves.com/product/street-food-burger-sleeves/,/product/event-burger-sleeves/,/product/event-burger-sleeves/,high volume handoff,high volume handoff,preserved,
https://theburgersleeves.com/product/street-food-burger-sleeves/,/product/restaurant-burger-sleeves/,/product/restaurant-burger-sleeves/,kitchen ready presentation,kitchen ready presentation,preserved,
https://theburgersleeves.com/product/promotional-burger-sleeves/,/product-category/special-sleeves-uses/,/product-category/special-sleeves-uses/,campaign focused sleeve use cases,campaign focused sleeve use cases,preserved,
https://theburgersleeves.com/product/promotional-burger-sleeves/,/product/cafe-burger-sleeves/,/product/cafe-burger-sleeves/,daily counter branding use,daily counter branding use,preserved,
https://theburgersleeves.com/product/promotional-burger-sleeves/,/product/event-burger-sleeves/,/product/event-burger-sleeves/,bulk service distribution,bulk service distribution,preserved,
https://theburgersleeves.com/product/promotional-burger-sleeves/,/product/restaurant-burger-sleeves/,/product/restaurant-burger-sleeves/,consistent dine in presentation,consistent dine in presentation,preserved,
https://theburgersleeves.com/product/event-burger-sleeves/,/product-category/special-sleeves-uses/,/product-category/special-sleeves-uses/,service setting sleeve choices,service setting sleeve choices,preserved,
https://theburgersleeves.com/product/event-burger-sleeves/,/product/street-food-burger-sleeves/,/product/street-food-burger-sleeves/,quick handoff service,quick handoff service,preserved,
https://theburgersleeves.com/product/event-burger-sleeves/,/product/promotional-burger-sleeves/,/product/promotional-burger-sleeves/,brand visibility during campaigns,brand visibility during campaigns,preserved,
https://theburgersleeves.com/product/event-burger-sleeves/,/product/cafe-burger-sleeves/,/product/cafe-burger-sleeves/,counter service sleeves,counter service sleeves,preserved,
https://theburgersleeves.com/product/black-burger-sleeves/,,/product/matte-finish-burger-sleeves/,,low-sheen surface that plays down handling marks,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/black-burger-sleeves/,,/product/black-printed-burger-sleeves/,,heavy black ink coverage laid onto light paperboard,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/black-burger-sleeves/,,/product/white-burger-sleeves/,,a bright board that carries small text cleanly,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/die-cut-burger-sleeves/,,/product/double-patty-burger-sleeves/,,sleeve geometry sized for stacked two-patty builds,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/die-cut-burger-sleeves/,,/product/custom-burger-sleeves/,,"a full bespoke specification covering board, print and structure together",newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/die-cut-burger-sleeves/,,/get-free-quote/,,quotation stage where dimensions and structure are confirmed,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/eco-friendly-burger-sleeves/,,/product/cardboard-burger-sleeves/,,a stiffer paperboard build for heavier items,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/gloss-finish-burger-sleeves/,,/product/matte-finish-burger-sleeves/,,a non-reflective face that stays readable under hard lighting,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/gloss-finish-burger-sleeves/,,/product/full-color-burger-sleeves/,,edge-to-edge process colour on a bright ground,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/gloss-finish-burger-sleeves/,,/product-category/burger-sleeves-styles/,,the other surface treatments offered in this range,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/kraft-brown-burger-sleeves/,,/product/kraft-burger-sleeves/,,the wider kraft board options across weights,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/kraft-brown-burger-sleeves/,,/product/minimal-design-burger-sleeves/,,pared-back layouts that use fewer inks,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/kraft-brown-burger-sleeves/,,/product/white-burger-sleeves/,,a bright ground that reproduces colour predictably,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/large-burger-sleeves/,,/product-category/burger-sleeves-sizes/,,the full run of sleeve sizes side by side,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/matte-finish-burger-sleeves/,,/product/white-printed-burger-sleeves/,,artwork printed onto a bright white ground,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/white-burger-sleeves/,,/product/grease-resistant-burger-sleeves/,,board treated to slow oil migration,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/white-burger-sleeves/,,/product/gloss-finish-burger-sleeves/,,a sealed high-shine face that deepens printed colour,newly added,contextual link introduced by the content upgrade
https://theburgersleeves.com/product/white-burger-sleeves/,,/product-category/burger-sleeves-styles/,,the range of surface options across the sleeve styles,newly added,contextual link introduced by the content upgrade
