source_url,destination_url,anchor_text,section_heading,link_type,http_status,source_field
https://theburgersleeves.com/product/kraft-burger-sleeves/,/product-category/burger-sleeves-materials/,kraft paper sleeve construction,Kraft Burger Sleeves That Deliver A Warm Stock Feel,contextual,200,"product-content.json > TBS-001 (pre-upgrade snapshot, commit 57aa049)"
https://theburgersleeves.com/product/kraft-burger-sleeves/,/product/paper-burger-sleeves/,paper wrap sleeve stock,Kraft Burger Sleeves That Deliver A Warm Stock Feel,contextual,200,"product-content.json > TBS-001 (pre-upgrade snapshot, commit 57aa049)"
https://theburgersleeves.com/product/kraft-burger-sleeves/,/product/recycled-burger-sleeves/,recycled material alternative,Kraft Sleeves That Pair With Menu Material Planning,contextual,200,"product-content.json > TBS-001 (pre-upgrade snapshot, commit 57aa049)"
https://theburgersleeves.com/product/kraft-burger-sleeves/,/product/corrugated-burger-sleeves/,structured layer support,Kraft Sleeves That Pair With Menu Material Planning,contextual,200,"product-content.json > TBS-001 (pre-upgrade snapshot, commit 57aa049)"
https://theburgersleeves.com/product/cardboard-burger-sleeves/,/product-category/burger-sleeves-materials/,paperboard sleeve strength options,Cardboard Burger Sleeves For Strong Daily Protection,contextual,200,"product-content.json > TBS-002 (pre-upgrade snapshot, commit 57aa049)"
https://theburgersleeves.com/product/cardboard-burger-sleeves/,/product/corrugated-burger-sleeves/,reinforced layer structure,Cardboard Burger Sleeves For Strong Daily Protection,contextual,200,"product-content.json > TBS-002 (pre-upgrade snapshot, commit 57aa049)"
https://theburgersleeves.com/product/cardboard-burger-sleeves/,/product/kraft-burger-sleeves/,kraft paper finish,Cardboard Sleeves That Keep Stations Consistent,contextual,200,"product-content.json > TBS-002 (pre-upgrade snapshot, commit 57aa049)"
https://theburgersleeves.com/product/cardboard-burger-sleeves/,/product/paper-burger-sleeves/,paper based sleeve stock,Cardboard Sleeves That Keep Stations Consistent,contextual,200,"product-content.json > TBS-002 (pre-upgrade snapshot, commit 57aa049)"
https://theburgersleeves.com/product/paper-burger-sleeves/,/product-category/burger-sleeves-materials/,paper stock sleeve formats,Paper Burger Sleeves For Clean Wrap Control,contextual,200,"product-content.json > TBS-003 (pre-upgrade snapshot, commit 57aa049)"
https://theburgersleeves.com/product/paper-burger-sleeves/,/product/kraft-burger-sleeves/,kraft paper build,Paper Burger Sleeves For Clean Wrap Control,contextual,200,"product-content.json > TBS-003 (pre-upgrade snapshot, commit 57aa049)"
https://theburgersleeves.com/product/paper-burger-sleeves/,/product/recycled-burger-sleeves/,recycled paper choice,Paper Sleeves That Balance Flex And Support,contextual,200,"product-content.json > TBS-003 (pre-upgrade snapshot, commit 57aa049)"
https://theburgersleeves.com/product/paper-burger-sleeves/,/product/cardboard-burger-sleeves/,paperboard strength option,Paper Sleeves That Balance Flex And Support,contextual,200,"product-content.json > TBS-003 (pre-upgrade snapshot, commit 57aa049)"
https://theburgersleeves.com/product/corrugated-burger-sleeves/,/product-category/burger-sleeves-materials/,structured sleeve material builds,Corrugated Burger Sleeves For Stronger Shape Hold,contextual,200,"product-content.json > TBS-004 (pre-upgrade snapshot, commit 57aa049)"
https://theburgersleeves.com/product/corrugated-burger-sleeves/,/product/cardboard-burger-sleeves/,rigid sleeve support,Corrugated Burger Sleeves For Stronger Shape Hold,contextual,200,"product-content.json > TBS-004 (pre-upgrade snapshot, commit 57aa049)"
https://theburgersleeves.com/product/corrugated-burger-sleeves/,/product/kraft-burger-sleeves/,kraft outer surface,Corrugated Sleeves That Keep Orders Stable In Bags,contextual,200,"product-content.json > TBS-004 (pre-upgrade snapshot, commit 57aa049)"
https://theburgersleeves.com/product/corrugated-burger-sleeves/,/product/paper-burger-sleeves/,lightweight paper stock,Corrugated Sleeves That Keep Orders Stable In Bags,contextual,200,"product-content.json > TBS-004 (pre-upgrade snapshot, commit 57aa049)"
