sku,product,url,role,file,local_path,original_source,dimensions,bytes,alt,ownership,status,third_party,action
TBS-042,Burger Wrapping Sleeves,/product/burger-wrapping-sleeves/,excluded,Burger-Wrapping-Sleeves.jpg,src/assets/images/Burger-Wrapping-Sleeves.jpg,WordPress wp-content/uploads (migrated),1080x1080,282560,Burger Wrapping Sleeves,NOT owned — third-party or template imagery,excluded from production,template advert,"Whole image removed from product data. Visible: ""Fast Sleeve Printing — Get yours printed today!"" printed on the box; a competitor or template advert. Not edited or de-watermarked."
TBS-044,Fast Food Sleeves Packaging,/product/fast-food-sleeves-packaging/,excluded,burger-sleeves-packaging.jpg,src/assets/images/burger-sleeves-packaging.jpg,WordPress wp-content/uploads (migrated),1080x1080,670776,Printed fast food sleeves stacked for service,NOT owned — third-party or template imagery,excluded from production,third-party brand,"Whole image removed from product data. Visible: JB's Burgers full brand identity across bags, boxes and wraps. Not edited or de-watermarked."
TBS-044,Fast Food Sleeves Packaging,/product/fast-food-sleeves-packaging/,excluded,Burger-Wrapping-Sleeves.jpg,src/assets/images/Burger-Wrapping-Sleeves.jpg,WordPress wp-content/uploads (migrated),1080x1080,282560,Burger Wrapping Sleeves,NOT owned — third-party or template imagery,excluded from production,template advert,"Whole image removed from product data. Visible: ""Fast Sleeve Printing — Get yours printed today!"" printed on the box; a competitor or template advert. Not edited or de-watermarked."
TBS-044,Fast Food Sleeves Packaging,/product/fast-food-sleeves-packaging/,excluded,custom-fast-food-sleeve.jpg,src/assets/images/custom-fast-food-sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,260501,custom fast food sleeve,NOT owned — third-party or template imagery,excluded from production,stock listing overlay,"Whole image removed from product data. Visible: ""100 PACK"" retail sticker composited onto the image. Not edited or de-watermarked."
TBS-044,Fast Food Sleeves Packaging,/product/fast-food-sleeves-packaging/,excluded,fast-food-sleeves-packaging.jpg,src/assets/images/fast-food-sleeves-packaging.jpg,WordPress wp-content/uploads (migrated),1080x1080,40721,fast food sleeves packaging,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: Lumi Fast Food logo and slogan. Not edited or de-watermarked.
TBS-044,Fast Food Sleeves Packaging,/product/fast-food-sleeves-packaging/,excluded,logo-printed-food-sleeves.jpg,src/assets/images/logo-printed-food-sleeves.jpg,WordPress wp-content/uploads (migrated),1080x1080,427959,logo printed food sleeves,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: BURGER HOUSE / BURGER BOX brand identity. Not edited or de-watermarked.
TBS-001,Kraft Burger Sleeves,/product/kraft-burger-sleeves/,excluded,Kraft-Hamburger-Sleeves.jpg,src/assets/images/Kraft-Hamburger-Sleeves.jpg,WordPress wp-content/uploads (migrated),1080x1080,79494,Kraft Burger Sleeves,NOT owned — third-party or template imagery,excluded from production,third-party brand,"Whole image removed from product data. Visible: ""burger time"" brand band across the wrap. Not edited or de-watermarked."
TBS-003,Paper Burger Sleeves,/product/paper-burger-sleeves/,excluded,Gloss-Paper-Burger-Sleeves.jpg,src/assets/images/Gloss-Paper-Burger-Sleeves.jpg,WordPress wp-content/uploads (migrated),1080x1080,47361,Burger Sleeves Sizes,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: BURGER PALACE and BAYETTE Boutique Restaurant logos. Not edited or de-watermarked.
TBS-004,Corrugated Burger Sleeves,/product/corrugated-burger-sleeves/,excluded,Single-Wall-Corrugated-Burger-Sleeve.jpg,src/assets/images/Single-Wall-Corrugated-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,578807,Single Wall Corrugated Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: third-party striped burger-box identity; also shows trays rather than sleeves. Not edited or de-watermarked.
TBS-004,Corrugated Burger Sleeves,/product/corrugated-burger-sleeves/,excluded,Corrugated-Burger-Sleeve.jpg,src/assets/images/Corrugated-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,371120,Corrugated Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: White Castle branded clamshell. Not edited or de-watermarked.
TBS-004,Corrugated Burger Sleeves,/product/corrugated-burger-sleeves/,excluded,Custom-Corrugated-Burger-Sleeve.jpg,src/assets/images/Custom-Corrugated-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,544902,Custom Corrugated Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: BURGER BROTHER™ branded tray. Not edited or de-watermarked.
TBS-004,Corrugated Burger Sleeves,/product/corrugated-burger-sleeves/,excluded,Disposable-Corrugated-Burger-Sleeve.jpg,src/assets/images/Disposable-Corrugated-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,190565,Disposable Corrugated Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,mockup template,"Whole image removed from product data. Visible: ""burger holder"" free-mockup template with provider credit. Not edited or de-watermarked."
TBS-004,Corrugated Burger Sleeves,/product/corrugated-burger-sleeves/,excluded,Kraft-Corrugated-Burger-Sleeve.jpg,src/assets/images/Kraft-Corrugated-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,621628,Kraft Corrugated Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: third-party striped burger-box identity. Not edited or de-watermarked.
TBS-005,Recycled Burger Sleeves,/product/recycled-burger-sleeves/,excluded,Food-Grade-Recycled-Burger-Sleeve.jpg,src/assets/images/Food-Grade-Recycled-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,54835,Food Grade Recycled Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,mockup template,"Whole image removed from product data. Visible: ""SANDWICH PACKAGING mockup"" watermark printed across the frame. Not edited or de-watermarked."
TBS-023,Small Burger Sleeves,/product/small-burger-sleeves/,excluded,Mini-Small-Burger-Sleeve.jpg,src/assets/images/Mini-Small-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,79657,Mini Small Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: DOWNTOWNER branded box. Not edited or de-watermarked.
TBS-023,Small Burger Sleeves,/product/small-burger-sleeves/,excluded,Logo-Printed-Small-Burger-Sleeve.jpg,src/assets/images/Logo-Printed-Small-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,106831,Logo Printed Small Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: Hamburgesa branded wrap. Not edited or de-watermarked.
TBS-023,Small Burger Sleeves,/product/small-burger-sleeves/,excluded,Small-Burger-Sleeve-Packaging.jpg,src/assets/images/Small-Burger-Sleeve-Packaging.jpg,WordPress wp-content/uploads (migrated),1080x1080,107283,Small Burger Sleeve Packaging,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: MAZZA FOOD branded wrap. Not edited or de-watermarked.
TBS-024,Medium Burger Sleeves,/product/medium-burger-sleeves/,excluded,Classic-Medium-Burger-Sleeve.jpg,src/assets/images/Classic-Medium-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,114356,Classic Medium Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: MUNCH branded box. Not edited or de-watermarked.
TBS-025,Large Burger Sleeves,/product/large-burger-sleeves/,excluded,Large-Burger-Sleeve.jpg,src/assets/images/Large-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,162112,Large Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: KLAY by Karak House branded box. Not edited or de-watermarked.
TBS-026,Jumbo Burger Sleeves,/product/jumbo-burger-sleeves/,excluded,Jumbo-Burger-Sleeves.jpg,src/assets/images/Jumbo-Burger-Sleeves.jpg,WordPress wp-content/uploads (migrated),1080x1080,32502,Jumbo Burger Sleeves,NOT owned — third-party or template imagery,excluded from production,mockup template,"Whole image removed from product data. Visible: ""burger holder"" free-mockup template. Not edited or de-watermarked."
TBS-027,Slider Burger Sleeves,/product/slider-burger-sleeves/,excluded,Slider-Burger-Sleeve.jpg,src/assets/images/Slider-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,58482,Slider Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,"Whole image removed from product data. Visible: White Castle branded boxes, logo clearly legible. Not edited or de-watermarked."
TBS-028,Double Patty Burger Sleeves,/product/double-patty-burger-sleeves/,excluded,Cardboard-Double-Patty-Burger-Sleeve.jpg,src/assets/images/Cardboard-Double-Patty-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,470525,Cardboard Double Patty Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: third-party printed wrap identity. Not edited or de-watermarked.
TBS-029,Kraft Brown Burger Sleeves,/product/kraft-brown-burger-sleeves/,excluded,Custom-Kraft-Brown-Burger-Sleeve.jpg,src/assets/images/Custom-Kraft-Brown-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,50812,Custom Kraft Brown Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand + agency credit,"Whole image removed from product data. Visible: Burger King WHOPPER® wrap, ""Flame Grilled™"", ""America's Favorite Burger®"", plus a ""Designed by Turner Duckworth"" agency watermark. Not edited or de-watermarked."
TBS-029,Kraft Brown Burger Sleeves,/product/kraft-brown-burger-sleeves/,excluded,Kraft-Brown-Burger-Sleeves-With-Logo.jpg,src/assets/images/Kraft-Brown-Burger-Sleeves-With-Logo.jpg,WordPress wp-content/uploads (migrated),1080x1080,84899,Customized Burger Sleeves,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: Crave branded bags. Not edited or de-watermarked.
TBS-029,Kraft Brown Burger Sleeves,/product/kraft-brown-burger-sleeves/,excluded,Kraft-Brown-Burger-Sleeves.jpg,src/assets/images/Kraft-Brown-Burger-Sleeves.jpg,WordPress wp-content/uploads (migrated),1080x1080,33415,Kraft Brown Burger Sleeves,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: Burger Station branded bags. Not edited or de-watermarked.
TBS-029,Kraft Brown Burger Sleeves,/product/kraft-brown-burger-sleeves/,excluded,Uncoated-Kraft-Brown-Burger-Sleeve.jpg,src/assets/images/Uncoated-Kraft-Brown-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,162112,Uncoated Kraft Brown Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: KLAY by Karak House branded box. Not edited or de-watermarked.
TBS-030,White Burger Sleeves,/product/white-burger-sleeves/,excluded,Gloss-White-Burger-Sleeve.jpg,src/assets/images/Gloss-White-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,115800,Gloss White Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: CULTO KEBAB branded tray and wrap. Not edited or de-watermarked.
TBS-030,White Burger Sleeves,/product/white-burger-sleeves/,excluded,Pure-White-Burger-Sleeve.jpg,src/assets/images/Pure-White-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,64482,Pure White Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,"Whole image removed from product data. Visible: ""street"" / ""BEER"" branded cups and wrap. Not edited or de-watermarked."
TBS-032,Matte Finish Burger Sleeves,/product/matte-finish-burger-sleeves/,excluded,Premium-Mattle-Burger-Sleeve.jpg,src/assets/images/Premium-Mattle-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,164777,Premium Mattle Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand + wrong product,"Whole image removed from product data. Visible: ""HOT DOG KING SIZE"" sleeves — a hot dog product, not a burger sleeve. Not edited or de-watermarked."
TBS-033,Gloss Finish Burger Sleeves,/product/gloss-finish-burger-sleeves/,excluded,Custom-Gloss-Finish-Burger-Sleeve.jpg,src/assets/images/Custom-Gloss-Finish-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,46023,Custom Gloss Finish Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: BURGER swirl brand identity. Not edited or de-watermarked.
TBS-033,Gloss Finish Burger Sleeves,/product/gloss-finish-burger-sleeves/,excluded,Gloss-Finish-Burger-Sleeves-For-Cafes.jpg,src/assets/images/Gloss-Finish-Burger-Sleeves-For-Cafes.jpg,WordPress wp-content/uploads (migrated),1080x1080,114089,Gloss Finish Burger Sleeves For Cafes,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: HOFFY branded foil wrap. Not edited or de-watermarked.
TBS-034,Die Cut Burger Sleeves,/product/die-cut-burger-sleeves/,excluded,Die-Cut-Burger-Sleeve-For-Cafes.jpg,src/assets/images/Die-Cut-Burger-Sleeve-For-Cafes.jpg,WordPress wp-content/uploads (migrated),1080x1080,550753,Die Cut Burger Sleeve For Cafes,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: MAZZA FOOD branded wrap. Not edited or de-watermarked.
TBS-034,Die Cut Burger Sleeves,/product/die-cut-burger-sleeves/,excluded,White-Die-Cut-Burger-Sleeve.jpg,src/assets/images/White-Die-Cut-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,632066,White Die Cut Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: Hamburgesa branded wrap. Not edited or de-watermarked.
TBS-007,Burger Sleeves,/product/burger-sleeves/,excluded,Matte-Burger-Sleeve.jpg,src/assets/images/Matte-Burger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,371085,Matte Burger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: White Castle branded box. Not edited or de-watermarked.
TBS-008,Hamburger Sleeves,/product/hamburger-sleeves/,excluded,Kraft-Hamburger-Sleeves.jpg,src/assets/images/Kraft-Hamburger-Sleeves.jpg,WordPress wp-content/uploads (migrated),1080x1080,79494,Kraft Burger Sleeves,NOT owned — third-party or template imagery,excluded from production,third-party brand,"Whole image removed from product data. Visible: ""burger time"" brand band across the wrap. Not edited or de-watermarked."
TBS-008,Hamburger Sleeves,/product/hamburger-sleeves/,excluded,Disposable-Hamburger-Sleeve.jpg,src/assets/images/Disposable-Hamburger-Sleeve.jpg,WordPress wp-content/uploads (migrated),1080x1080,97741,Disposable Hamburger Sleeve,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: Hamburgesa branded wrap. Not edited or de-watermarked.
TBS-011,Takeaway Burger Sleeves,/product/takeaway-burger-sleeves/,excluded,Takeaway-Burger-Sleeves.jpg,src/assets/images/Takeaway-Burger-Sleeves.jpg,WordPress wp-content/uploads (migrated),1080x1080,72819,Takeaway Burger Sleeves,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: DOWNTOWNER branded box. Not edited or de-watermarked.
TBS-011,Takeaway Burger Sleeves,/product/takeaway-burger-sleeves/,excluded,Custom-Takeaway-Burger-Sleeves.jpg,src/assets/images/Custom-Takeaway-Burger-Sleeves.jpg,WordPress wp-content/uploads (migrated),1080x1080,73788,Custom Takeaway Burger Sleeves,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: DOWNTOWNER branded box. Not edited or de-watermarked.
TBS-011,Takeaway Burger Sleeves,/product/takeaway-burger-sleeves/,excluded,Custom-Takeaway-Burger-Packaging.jpg,src/assets/images/Custom-Takeaway-Burger-Packaging.jpg,WordPress wp-content/uploads (migrated),1080x1080,76406,Custom Takeaway Burger Packaging,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: DELICIOUS DESSERT branded box. Not edited or de-watermarked.
TBS-013,Grease Resistant Burger Sleeves,/product/grease-resistant-burger-sleeves/,excluded,Grease-Resistant-Burger-Sleeves.jpg,src/assets/images/Grease-Resistant-Burger-Sleeves.jpg,WordPress wp-content/uploads (migrated),1080x1080,84799,Grease Resistant Burger Sleeves,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: KRAFT (Kraft Heinz) burger cheese advertising imagery. Not edited or de-watermarked.
TBS-013,Grease Resistant Burger Sleeves,/product/grease-resistant-burger-sleeves/,excluded,Custom-Grease-Resistant-Burger-Packaging.jpg,src/assets/images/Custom-Grease-Resistant-Burger-Packaging.jpg,WordPress wp-content/uploads (migrated),1080x1080,42003,Custom Grease Resistant Burger Packaging,NOT owned — third-party or template imagery,excluded from production,third-party brand,Whole image removed from product data. Visible: GOOD FOOD BURGER branded wrap. Not edited or de-watermarked.
TBS-035,Restaurant Burger Sleeves,/product/restaurant-burger-sleeves/,excluded,Restaurant-Burger-Sleeves-With-Logo.jpg,src/assets/images/Restaurant-Burger-Sleeves-With-Logo.jpg,WordPress wp-content/uploads (migrated),1080x1080,144671,Restaurant Burger Sleeves With Logo,NOT owned — third-party or template imagery,excluded from production,third-party brand + wrong product,"Whole image removed from product data. Visible: ""HOTDOG"" sleeves — a hot dog product, not a burger sleeve. Not edited or de-watermarked."
TBS-039,Promotional Burger Sleeves,/product/promotional-burger-sleeves/,excluded,Promotional-Burger-Sleeves.jpg,src/assets/images/Promotional-Burger-Sleeves.jpg,WordPress wp-content/uploads (migrated),1080x1080,66183,Promotional Burger Sleeves,NOT owned — third-party or template imagery,excluded from production,third-party brand,"Whole image removed from product data. Visible: ""WHAT THE DUCK?"" brand identity. Not edited or de-watermarked."
